obj_id,sketch_id,obj_filename,sket_filename,text_id,tex
90ba6644ad322c47,036dbe8e06efc868,90ba6644ad322c47.obj,036dbe8e06efc868.jpg,505ea7c5b84466e2,A male African elephant is drinking and bathing in the river
90ba6644ad322c47,0516d1f786008dce,90ba6644ad322c47.obj,0516d1f786008dce.jpg,505ea7c5b84466e2,A male African elephant is drinking and bathing in the river
90ba6644ad322c47,1f4391cd4503420a,90ba6644ad322c47.obj,1f4391cd4503420a.jpg,505ea7c5b84466e2,A male African elephant is drinking and bathing in the river
90ba6644ad322c47,86889d264071b08d,90ba6644ad322c47.obj,86889d264071b08d.jpg,505ea7c5b84466e2,A male African elephant is drinking and bathing in the river
2d0e5e5ef940e212,036dbe8e06efc868,2d0e5e5ef940e212.obj,036dbe8e06efc868.jpg,505ea7c5b84466e2,A male African elephant is drinking and bathing in the river
2d0e5e5ef940e212,0516d1f786008dce,2d0e5e5ef940e212.obj,0516d1f786008dce.jpg,505ea7c5b84466e2,A male African elephant is drinking and bathing in the river
2d0e5e5ef940e212,1f4391cd4503420a,2d0e5e5ef940e212.obj,1f4391cd4503420a.jpg,505ea7c5b84466e2,A male African elephant is drinking and bathing in the river
2d0e5e5ef940e212,86889d264071b08d,2d0e5e5ef940e212.obj,86889d264071b08d.jpg,505ea7c5b84466e2,A male African elephant is drinking and bathing in the river
a91a958f77aaaf7a,0d138c88827df428,a91a958f77aaaf7a.obj,0d138c88827df428.jpg,601ddb15db807b23,A dog is sitting and holding a bone in its mouth
a91a958f77aaaf7a,d36c017cc4046784,a91a958f77aaaf7a.obj,d36c017cc4046784.jpg,601ddb15db807b23,A dog is sitting and holding a bone in its mouth
a91a958f77aaaf7a,efdc03080f935022,a91a958f77aaaf7a.obj,efdc03080f935022.jpg,601ddb15db807b23,A dog is sitting and holding a bone in its mouth
85e5acde0498e53b,0d138c88827df428,85e5acde0498e53b.obj,0d138c88827df428.jpg,601ddb15db807b23,A dog is sitting and holding a bone in its mouth
85e5acde0498e53b,d36c017cc4046784,85e5acde0498e53b.obj,d36c017cc4046784.jpg,601ddb15db807b23,A dog is sitting and holding a bone in its mouth
85e5acde0498e53b,efdc03080f935022,85e5acde0498e53b.obj,efdc03080f935022.jpg,601ddb15db807b23,A dog is sitting and holding a bone in its mouth
76386d460969cd1c,0d138c88827df428,76386d460969cd1c.obj,0d138c88827df428.jpg,601ddb15db807b23,A dog is sitting and holding a bone in its mouth
76386d460969cd1c,d36c017cc4046784,76386d460969cd1c.obj,d36c017cc4046784.jpg,601ddb15db807b23,A dog is sitting and holding a bone in its mouth
76386d460969cd1c,efdc03080f935022,76386d460969cd1c.obj,efdc03080f935022.jpg,601ddb15db807b23,A dog is sitting and holding a bone in its mouth
d19ff493ba370b6e,0d138c88827df428,d19ff493ba370b6e.obj,0d138c88827df428.jpg,601ddb15db807b23,A dog is sitting and holding a bone in its mouth
d19ff493ba370b6e,d36c017cc4046784,d19ff493ba370b6e.obj,d36c017cc4046784.jpg,601ddb15db807b23,A dog is sitting and holding a bone in its mouth
d19ff493ba370b6e,efdc03080f935022,d19ff493ba370b6e.obj,efdc03080f935022.jpg,601ddb15db807b23,A dog is sitting and holding a bone in its mouth
a64e0155977494f6,0e674b33c711ebc8,a64e0155977494f6.obj,0e674b33c711ebc8.jpg,7e152b8777567599,A Bengal tiger is standing to watch the prey
